"","forecast_EQdiffar1"
"2",181.585525125556
"3",-374.442642369695
"4",226.410917934905
"5",-312.321351528391
"6",369.717834502193
"7",-57.3869844668102
"8",-111.578359929209
"9",127.397563187994
"10",8.24891409892839
"11",-195.365884974119
"12",270.883439528946
"13",-302.21530473643
"14",123.07569449928
"15",96.9192725374284
"16",132.468562923936
"17",-159.294957193644
"18",-37.4233024446602
"19",86.1648329666038
"20",13.5707977655434
"21",-241.54818147555
"22",249.831703685459
"23",-22.8148776215469
"24",-33.1556765103375
"25",-135.799960856588
"26",-41.9866239209148
"27",180.130393384952
"28",-190.550238243808
"29",123.153040876849
"30",-38.5402713622662
"31",-403.132957406421
"32",632.941950363132
"33",0.417959840139388
"34",-270.549874711821
"35",58.5783817913017
"36",65.5871397117209
"37",32.8830135967667
"38",-324.425612331557
"39",462.436416251607
"40",-143.203761822934
"41",58.3987622138254
"42",50.879265473781
"43",-36.9009017760793
"44",-12.869042488171
"45",40.2807763963875
"46",-110.621636618429
"47",34.2752790636744
"48",-135.588073474279
"49",164.955033911295
"50",-84.7828163354905
"51",90.9992464584722
"52",12.5471542588849
"53",13.1097155828234
"54",51.9786074668379
"55",-21.54954399967
"56",-121.820404550315
"57",35.8563219288626
"58",29.9079128724198
"59",63.9697538334284
"60",-204.854970776516
"61",-365.569444112976
"62",362.312381123724
"63",21.7765243413081
"64",46.5714085250384
"65",114.014797799907
"66",-50.8847592894287
"67",-1.75239229174966
"68",-91.1434653447635
"69",4.55759847742038
"70",-143.308312172461
"71",119.637611399614
"72",-34.0811314714831
"73",65.5489439348391
"74",-98.3940192254359
"75",131.715747742229
"76",60.5773158835319
"77",-100.940971490709
"78",119.279445768025
"79",56.8646400872783
"80",-31.0898531810292
"81",69.2122747198749
"82",-13.5383755030402
"83",-140.025398390807
"84",-23.7125063411985
"85",84.6731899696625
"86",-87.5106984306961
"87",39.6505366072107
"88",-327.316438552753
"89",274.124526516691
"90",7.65742036063121
"91",83.4884057792926
"92",-140.96010950336
"93",115.849837569051
"94",-127.008409874175
"95",67.1934946596413
"96",-42.0629628231759
"97",-316.605393683937
"98",385.623099248427
"99",-77.1565009108465
"100",94.1681886295599
"101",-3.00615460986237
"102",-203.631292484044
"103",192.640657848008
"104",18.89095529209
"105",-53.6257656187183
"106",-69.8333742944913
"107",2.82211154604244
"108",43.4294600318666
"109",-15.0756278438148
"110",133.506166215118
"111",57.5681226580313
"112",-197.000412751654
"113",122.860034535781
"114",-80.1230374429779
"115",-83.5721719359712
"116",-108.468906100709
"117",135.61660637102
"118",-185.461317263068
"119",351.771798805283
"120",-77.238940798014
"121",-177.735505469307
"122",211.534184066681
"123",-74.4578893176064
"124",-121.56976806167
"125",90.3946611101273
"126",5.77249218864047
"127",79.9395437791134
"128",-418.191538815595
"129",370.526626300062
"130",104.3630366542
"131",-204.369185945679
"132",220.169800198906
"133",-148.014211615921
"134",-50.0144145360611
"135",-91.8418746400129
"136",250.996082720641
"137",4.064280967996
"138",4.02749475766279
"139",-29.2392975610631
"140",-19.5396771918953
"141",39.2685194796888
"142",-223.083292367132
"143",259.763563911777
"144",-8.91842973158578
"145",-120.973603165364
"146",13.4472994017301
"147",61.7889000250308
"148",-14.621293042712
"149",-48.9880838166798
"150",98.0887719941308
"151",-60.8294977499374
"152",120.46094780805
"153",-347.43222695405
"154",204.865327719081
"155",28.092297968716
"156",-79.7198318166061
"157",135.202911575038
"158",60.9122070301916
"159",-192.911386528115
"160",111.352927980411
"161",-82.4181487855646
"162",75.3335209184344
"163",128.809616396772
"164",-145.079161263231
"165",-149.313700056455
"166",229.872375915159
"167",-47.7001539471616
"168",68.0953689792039
"169",-24.4435314393004
"170",-10.038390302517
"171",-9.06996307811336
"172",-223.682395419219
"173",38.1878957364362
"174",92.3220078909002
"175",81.5354121945846
"176",-176.421709174107
"177",167.879698895351
"178",55.5247637374072
"179",50.3358885500674
"180",-51.1701241026237
"181",-191.066773699795
"182",106.403302468645
"183",6.69555155781318
"184",-243.611652633118
"185",230.47975815966
"186",169.632256607881
"187",-152.40829655728
"188",-94.0110771964171
"189",118.370347132304
"190",1.76357804587693
"191",1.01085220836735
"192",38.9849426723748
"193",-274.853269054249
"194",314.895051011142
"195",-93.199521653255
"196",-27.6731479683972
"197",-4.26770546661483
"198",50.1838890876056
"199",-22.4966480202412
"200",21.2216086091873
"201",-63.6222386571615
"202",-33.1046531982175
"203",-45.6730381655104
"204",54.0212713298954
"205",-83.8444776909959
"206",186.883319951529
"207",-140.615533029524
"208",-60.5211538808113
"209",73.8096896651628
"210",36.7867841244122
"211",-91.3268951046327
"212",156.752210983726
"213",113.330101832483
"214",-108.343150236631
"215",-58.8280256046382
"216",48.1039295382948
"217",27.5949159820716
"218",-51.1624470268371
"219",24.8480145943675
"220",-27.5137409165071
"221",37.4217977667665
"222",-99.2176172387404
"223",199.1296664784
"224",-139.503119137921
"225",59.7869435876673
"226",-107.659900896463
"227",75.9446106294273
"228",-143.516233394054
"229",20.9452135863715
"230",90.4914544511772
"231",38.2052664018206
"232",72.4951953041482
"233",-98.3006459826406
"234",119.876938799152
"235",-86.1109462630354
"236",-97.222659142079
"237",-33.950880882951
"238",52.3301051151805
"239",122.159428642424
"240",-111.454804053069
"241",17.1499836483683
"242",122.607180183273
"243",-33.6384702528313
"244",-131.03260732898
"245",137.549139295592
"246",-20.808577510782
"247",44.1692575158138
"248",-159.665812984329
"249",41.4025994450447
"250",59.8942198761007
"251",-16.1657640456804
"252",-87.982564294387
"253",184.827222518263
"254",-168.254876599138
"255",125.051957936816
"256",-41.2306345684665
"257",-153.084143679582
"258",-106.44891092527
"259",16.6593802092088
"260",148.052019190981
"261",134.174204285186
"262",-118.824713603357
"263",94.640721604261
"264",-157.918536491217
"265",277.12684347405
"266",-55.187035759748
"267",-72.7803678646555
"268",70.4737563775699
"269",-26.8026551290818
"270",-90.0137390859113
"271",-40.1713330179864
"272",-84.0802030877148
"273",236.1693155439
"274",-65.415352000718
"275",81.1520083507075
"276",-223.758504060249
"277",53.6109374126591
"278",176.13990630065
"279",-173.46827004242
"280",23.7757325881313
"281",79.589899809779
"282",-145.952452617593
"283",-94.2154305029314
"284",204.404675033726
"285",-24.4322099950122
"286",181.694048399455
"287",-450.094103388611
"288",78.9499680105035
"289",266.225348876994
"290",-4.61493688223723
"291",-135.405408846146
"292",67.3514511565455
"293",14.1528275904482
"294",23.0738856713705
"295",-62.4439822624417
"296",-46.5332731360412
"297",129.529174989103
"298",12.2097787071292
"299",-110.570876988025
"300",172.380989698092
"301",-96.5244622864823
"302",-219.837276290569
"303",110.744204951404
"304",192.450678152468
"305",-19.7143513210372
"306",-115.505802244729
"307",-73.1225864033945
"308",-93.7920811118771
"309",274.000311714673
"310",-67.9816416237407
"311",125.312027173724
"312",-155.645438068177
"313",-119.287541291851
"314",-44.1977824108831
"315",-75.8783774440319
"316",376.981924989987
"317",-42.5890998142408
"318",-20.9683086938512
"319",63.757551134835
"320",-127.803008999974
"321",111.20960017764
"322",-97.3648289689906
"323",190.850984067962
"324",-289.257422838739
"325",118.193701427781
"326",99.9658396496281
"327",-3.750342032962
"328",-89.8958149172099
"329",-114.540515578462
"330",91.6481153356147
"331",104.894827672478
"332",-114.614916224753
"333",120.897486663599
"334",-251.828340616219
"335",117.768262720773
"336",-45.9868758462206
"337",-68.8049579427108
"338",-35.5005432568751
"339",139.770567608207
"340",114.643025700731
"341",-34.8592430887861
"342",-51.9655755791872
"343",-143.234332487938
"344",95.6409853380868
"345",-112.121440678838
"346",251.252295728359
"347",-23.7912846752471
"348",-213.108881913884
"349",168.315797375189
"350",-134.208908249529
"351",28.9453401429766
"352",182.586956534382
"353",-7.35584835747596
"354",-107.600246900866
"355",164.556211220083
"356",-137.114485746665
"357",-35.0375527520818
"358",-94.7686303126503
"359",108.075061361363
"360",57.440694766089
"361",-185.251621002576
"362",-199.463519423422
"363",299.278375833642
"364",-32.8582825569247
"365",-28.7933711122046
"366",144.85511808697
"367",-108.955934438198
"368",92.662544979962
"369",-6.07385801318834
"370",-63.6959707303771
"371",24.4223085873241
"372",-215.597201399887
"373",343.485611086199
"374",-169.54547615721
"375",48.790904539069
"376",84.3786278291123
"377",-128.689547146591
"378",-62.2544032798673
"379",-188.418760953637
"380",370.064959910584
"381",59.7569397077865
"382",-143.134767305381
"383",116.628257692714
"384",-1.68476068429894
"385",-44.4642227443297
"386",-46.2658826199401
"387",175.597398011043
"388",-471.651773064286
"389",141.945246635896
"390",72.9412841197147
"391",-186.621666904957
"392",327.861371816242
"393",74.4337607864678
"394",-169.590501011029
"395",142.57853005477
"396",-110.970335235688
"397",-15.4359941477035
"398",128.327183932904
"399",-94.5557251365764
"400",-29.0126728972031
"401",55.4082141627665
"402",-45.9500708084947
"403",-15.4878529265862
"404",75.9002668563991
"405",-88.0138321080759
"406",-36.76270536384
"407",162.108962344972
"408",-9.61696617105495
"409",-23.4296655659689
"410",61.830641214436
"411",-227.921441294454
"412",22.9391228195381
"413",142.991295451343
"414",-114.376811415492
"415",79.1968595392319
"416",-50.2849249011164
"417",-28.7543819181684
"418",45.3347324576752
"419",-100.591322250351
"420",221.584182018658
"421",-32.2395554678677
"422",35.7323749901082
"423",-31.0099759479226
"424",14.156169770146
"425",-4.31640047071315
"426",-77.5857326002781
"427",71.6710556123915
"428",-13.1603823787374
